dist,lon,lat,age_ma
10.03811964,-36.74214936,23.55878079,62.36
10.0720322,-36.70875282,23.55288729,62.59
10.10594477,-36.67535628,23.54699378,62.86
10.13985734,-36.64195974,23.54110027,63.07
10.1737699,-36.60856321,23.53520677,63.28
10.20768247,-36.57516667,23.52931326,63.51
10.24159504,-36.54177013,23.52341975,63.77
10.2755076,-36.50837359,23.51752625,64.04
10.30942017,-36.47497706,23.51163274,64.33
10.34333273,-36.44158052,23.50573923,64.57
10.3772453,-36.40818398,23.49984573,64.79
10.41115787,-36.37478744,23.49395222,65
10.44507043,-36.3413909,23.48805871,65.2
10.478983,-36.30799437,23.48216521,65.47
10.51289557,-36.27459783,23.4762717,65.74
10.54680813,-36.24120129,23.47037819,66.02
10.5807207,-36.20780475,23.46448469,66.29
10.61463327,-36.17440822,23.45859118,66.52
10.64854583,-36.14101168,23.45269767,66.74
10.6824584,-36.10761514,23.44680417,67.02
10.71637096,-36.0742186,23.44091066,67.25
10.75028353,-36.04082206,23.43501715,67.49
10.7841961,-36.00742553,23.42912365,67.72
10.81810866,-35.97402899,23.42323014,67.92
10.85202123,-35.94063245,23.41733663,68.11
10.8859338,-35.90723591,23.41144313,68.33
10.91984636,-35.87383938,23.40554962,68.51
10.95375893,-35.84044284,23.39965611,68.79
10.9876715,-35.8070463,23.39376261,69.07
11.02158406,-35.77364976,23.3878691,69.23
11.05549663,-35.74025322,23.38197559,69.42
11.08940919,-35.70685669,23.37608209,69.59
11.12332176,-35.67346015,23.37018858,69.77
11.15723433,-35.64006361,23.36429507,70.01
11.19114689,-35.60666707,23.35840157,70.27
11.22505946,-35.57327054,23.35250806,70.52
11.25897203,-35.539874,23.34661455,70.78
11.29288459,-35.50647746,23.34072105,70.98
11.32679716,-35.47308092,23.33482754,71.15
11.36070973,-35.43968438,23.32893403,71.32
11.39462229,-35.40628785,23.32304053,71.5
11.42853486,-35.37289131,23.31714702,71.75
11.46244742,-35.33949477,23.31125351,72.07
11.49635999,-35.30609823,23.30536001,72.22
11.53027256,-35.2727017,23.2994665,72.37
11.56418512,-35.23930516,23.29357299,72.53
11.59809769,-35.20590862,23.28767949,72.69
11.63201026,-35.17251208,23.28178598,73
11.66592282,-35.13911554,23.27589247,73.25
11.69983539,-35.10571901,23.26999897,73.47
11.73374795,-35.07232247,23.26410546,73.67
11.76766052,-35.03892593,23.25821195,73.87
11.80157309,-35.00552939,23.25231845,74.06
11.83548565,-34.97213286,23.24642494,74.3
11.86939822,-34.93873632,23.24053143,74.49
11.90331079,-34.90533978,23.23463793,74.68
11.93722335,-34.87194324,23.22874442,74.88
11.97113592,-34.8385467,23.22285091,75.07
12.00504849,-34.80515017,23.21695741,75.27
12.03896105,-34.77175363,23.2110639,75.5
12.07287362,-34.73835709,23.20517039,75.7
12.10678618,-34.70496055,23.19927689,75.91
12.14069875,-34.67156402,23.19338338,76.13
12.17461132,-34.63816748,23.18748987,76.35
12.20852388,-34.60477094,23.18159637,76.63
12.24243645,-34.5713744,23.17570286,76.86
12.27634902,-34.53797786,23.16980935,77.07
12.31026158,-34.50458133,23.16391585,77.28
12.34417415,-34.47118479,23.15802234,77.47
12.37808672,-34.43778825,23.15212883,77.67
12.41199928,-34.40439171,23.14623533,77.9
12.44591185,-34.37099518,23.14034182,78.09
12.47982441,-34.33759864,23.13444831,78.28
12.51373698,-34.3042021,23.12855481,78.47
12.54764955,-34.27080556,23.1226613,78.67
12.58156211,-34.23740902,23.11676779,78.86
12.61547468,-34.20401249,23.11087429,79.09
12.64938725,-34.17061595,23.10498078,79.29
12.68329981,-34.13721941,23.09908727,79.49
12.71721238,-34.10382287,23.09319377,79.69
12.75112495,-34.07042634,23.08730026,79.88
12.78503751,-34.0370298,23.08140675,80.21
12.81895008,-34.00363326,23.07551325,80.45
12.85286264,-33.97023672,23.06961974,80.64
12.88677521,-33.93684018,23.06372623,80.81
12.92068778,-33.90344365,23.05783273,80.96
12.95460034,-33.87004711,23.05193922,81.1
12.98851291,-33.83665057,23.04604571,81.43
13.02242548,-33.80325403,23.04015221,81.65
13.05633804,-33.7698575,23.0342587,81.85
13.09025061,-33.73646096,23.02836519,82.02
13.12416318,-33.70306442,23.02247169,82.2
13.15807574,-33.66966788,23.01657818,82.44
13.19198831,-33.63627134,23.01068467,82.65
13.22590087,-33.60287481,23.00479117,82.86
13.25981344,-33.56947827,22.99889766,83.07
13.29372601,-33.53608173,22.99300415,83.28
13.32763857,-33.50268519,22.98711065,83.48
13.36155114,-33.46928866,22.98121714,83.48
13.39546371,-33.43589212,22.97532363,83.51
13.42937627,-33.40249558,22.96943013,83.58
13.46328884,-33.36909904,22.96353662,83.7
13.4972014,-33.33570251,22.95764311,83.86
13.53111397,-33.30230597,22.95174961,84.06
13.56502654,-33.26890943,22.9458561,84.27
13.5989391,-33.23551289,22.93996259,84.34
13.63285167,-33.20211635,22.93406909,84.4
13.66676424,-33.16871982,22.92817558,84.52
13.7006768,-33.13532328,22.92228207,84.68
13.73458937,-33.10192674,22.91638857,84.79
13.76850194,-33.0685302,22.91049506,85.05
13.8024145,-33.03513367,22.90460156,85.31
13.83632707,-33.00173713,22.89870805,85.26
13.87023963,-32.96834059,22.89281454,85.28
13.9041522,-32.93494405,22.88692104,85.4
13.93806477,-32.90154751,22.88102753,85.43
13.97197733,-32.86815098,22.87513402,85.78
14.0058899,-32.83475444,22.86924052,86.14
14.03980247,-32.8013579,22.86334701,86.11
14.07371503,-32.76796136,22.8574535,86.07
14.1076276,-32.73456483,22.85156,86.13
14.14154017,-32.70116829,22.84566649,86.05
14.17545273,-32.66777175,22.83977298,86.35
14.2093653,-32.63437521,22.83387948,86.69
14.24327786,-32.60097867,22.82798597,86.79
14.27719043,-32.56758214,22.82209246,86.87
14.311103,-32.5341856,22.81619896,86.75
14.34501556,-32.50078906,22.81030545,87.02
14.37892813,-32.46739252,22.80441194,87.35
14.4128407,-32.43399599,22.79851844,87.65
14.44675326,-32.40059945,22.79262493,87.85
14.48066583,-32.36720291,22.78673142,87.87
14.5145784,-32.33380637,22.78083792,87.64
14.54849096,-32.30040983,22.77494441,87.8
14.58240353,-32.2670133,22.7690509,88.09
14.61631609,-32.23361676,22.7631574,88.48
14.65022866,-32.20022022,22.75726389,88.87
14.68414123,-32.16682368,22.75137038,89.04
14.71805379,-32.13342715,22.74547688,89.09
14.75196636,-32.10003061,22.73958337,89.24
14.78587893,-32.06663407,22.73368986,89.43
14.81979149,-32.03323753,22.72779636,89.65
14.85370406,-31.99984099,22.72190285,89.86
14.88761662,-31.96644446,22.71600934,90.06
14.92152919,-31.93304792,22.71011584,90.22
14.95544176,-31.89965138,22.70422233,90.37
14.98935432,-31.86625484,22.69832882,90.52
15.02326689,-31.83285831,22.69243532,90.67
15.05717946,-31.79946177,22.68654181,90.82
15.09109202,-31.76606523,22.6806483,90.98
15.12500459,-31.73266869,22.6747548,91.12
15.15891716,-31.69927215,22.66886129,91.27
15.19282972,-31.66587562,22.66296778,91.42
15.22674229,-31.63247908,22.65707428,91.56
15.26065485,-31.59908254,22.65118077,91.71
15.29456742,-31.565686,22.64528726,91.88
15.32847999,-31.53228947,22.63939376,92.02
15.36239255,-31.49889293,22.63350025,92.16
15.39630512,-31.46549639,22.62760674,92.31
15.43021769,-31.43209985,22.62171324,92.46
15.46413025,-31.39870331,22.61581973,92.63
15.49804282,-31.36530678,22.60992622,92.78
15.53195539,-31.33191024,22.60403272,92.92
15.56586795,-31.2985137,22.59813921,93.06
15.59978052,-31.26511716,22.5922457,93.21
15.63369308,-31.23172063,22.5863522,93.36
15.66760565,-31.19832409,22.58045869,93.53
15.70151822,-31.16492755,22.57456518,93.67
15.73543078,-31.13153101,22.56867168,93.82
15.76934335,-31.09813447,22.56277817,93.96
15.80325592,-31.06473794,22.55688466,94.11
15.83716848,-31.0313414,22.55099116,94.25
15.87108105,-30.99794486,22.54509765,94.42
15.90499362,-30.96454832,22.53920414,94.57
15.93890618,-30.93115179,22.53331064,94.71
15.97281875,-30.89775525,22.52741713,94.86
16.00673131,-30.86435871,22.52152362,95
16.04064388,-30.83096217,22.51563012,95.17
16.07455645,-30.79756563,22.50973661,95.32
16.10846901,-30.7641691,22.5038431,95.46
16.14238158,-30.73077256,22.4979496,95.61
16.17629415,-30.69737602,22.49205609,95.75
16.21020671,-30.66397948,22.48616258,95.89
16.24411928,-30.63058295,22.48026908,96.06
16.27803185,-30.59718641,22.47437557,96.21
16.31194441,-30.56378987,22.46848206,96.36
16.34585698,-30.53039333,22.46258856,96.5
