time,eccentricity,obliquity,perihelion,insolation,global_insolation
-19845,0.028423106,0.412049286,0.034081979,495.2129583,342.0882098
-19844,0.028418529,0.412584557,0.348328851,487.1903539,342.0881653
-19843,0.028345931,0.412922113,0.66327273,479.9621286,342.0874599
-19842,0.028264048,0.413048242,0.977119954,474.2787414,342.0866664
-19841,0.028148284,0.41295398,1.289877452,470.6706305,342.0855485
-19840,0.027921886,0.412637412,1.606704067,469.5004335,342.0833755
-19839,0.027713343,0.412104078,1.918878369,470.7173785,342.0813895
-19838,0.027436503,0.411366095,2.23366783,474.2024302,342.0787761
-19837,0.02711342,0.410441631,2.550761547,479.5278475,342.0757595
-19836,0.026727858,0.409360737,2.8653348,485.9560115,342.0722063
-19835,0.026300731,0.408154045,3.183400531,492.829581,342.0683297
-19834,0.02590099,0.406859167,3.502005195,499.2724819,342.0647582
-19833,0.025338294,0.405514189,3.821194276,504.4343919,342.0598238
-19832,0.02481663,0.404156998,4.14390013,507.7897151,342.0553462
-19831,0.024273128,0.40282679,4.464482151,508.8092214,342.0507804
-19830,0.023665089,0.401563746,4.791596494,507.3600263,342.0457925
-19829,0.023001398,0.400402267,5.117057743,503.555429,342.0404927
-19828,0.022372283,0.399379212,5.44278334,497.9416584,342.0356084
-19827,0.021679507,0.398526277,5.77757253,490.9266632,342.0303868
-19826,0.020987615,0.397868553,6.106242701,483.5791314,342.025336
-19825,0.020242975,0.397431893,0.159139287,476.455538,342.0200833
-19824,0.019542369,0.39723342,0.495235045,470.4389321,342.0153148
-19823,0.018799677,0.397280483,0.834728165,466.0898099,342.0104434
-19822,0.01801523,0.397579751,1.176616023,463.8705372,342.0055032
-19821,0.017308955,0.398121621,1.518701341,463.8534997,342.0012356
-19820,0.016521038,0.398889385,1.867906292,466.1087233,341.9966763
-19819,0.015772039,0.39986099,2.220139334,470.2592709,341.9925392
-19818,0.015025919,0.401003657,2.571196877,475.7887084,341.988609
-19817,0.01430602,0.402278859,2.934080365,482.2033228,341.9849975
-19816,0.013613459,0.403650248,3.299022093,488.7008276,341.9816906
-19815,0.012918926,0.405073578,3.670874091,494.6329107,341.9785391
-19814,0.012315581,0.406504194,4.049089481,499.4248638,341.9759353
-19813,0.011817415,0.407906731,4.434878064,502.701421,341.9738794
-19812,0.011266315,0.4092426,4.834544931,504.0725596,341.9717039
-19811,0.010974056,0.410478331,5.229851863,503.8648594,341.9705924
-19810,0.010717461,0.411589176,5.641243978,502.0329198,341.9696406
-19809,0.01060036,0.412547265,6.052736715,499.1472603,341.9692137
-19808,0.010630232,0.41333202,0.178566392,495.7519903,341.9693221
-19807,0.010743792,0.413930187,0.589039233,492.3770855,341.9697372
-19806,0.011087969,0.414325315,0.99125325,489.5446924,341.9710221
-19805,0.011396396,0.41451149,1.39168911,487.8390846,341.972208
-19804,0.011902532,0.414488087,1.781506389,487.3936963,341.9742246
-19803,0.01249268,0.414252824,2.160634935,488.373403,341.9766867
-19802,0.013122045,0.413814456,2.539682039,490.8013572,341.9794437
-19801,0.013841356,0.41319042,2.903905004,494.231486,341.9827606
-19800,0.014582142,0.41239396,3.262390273,498.3115308,341.9863617
-19799,0.015438767,0.411451323,3.61837651,502.5409499,341.9907601
-19798,0.016247871,0.410389837,3.964086946,506.130328,341.9951452
-19797,0.017104046,0.409235249,4.308381112,508.6051571,342.0000294
-19796,0.018037473,0.408016403,4.645944809,509.4455807,342.0056404
-19795,0.018932734,0.406761892,4.981372525,508.2204973,342.0113022
-19794,0.0198484,0.405495663,5.315074997,504.836468,342.017377
-19793,0.02079703,0.404244134,5.640535425,499.5210786,342.0239735
-19792,0.02175065,0.403029863,5.970478151,492.4389999,342.0309154
-19791,0.022699699,0.401872021,0.010316935,484.3676574,342.0381334
-19790,0.023653928,0.40079138,0.332171824,475.9341101,342.0457021
-19789,0.024596579,0.399807808,0.653039074,467.9335193,342.0534854
-19788,0.025606227,0.398936412,0.971544641,461.1090197,342.0621599
-19787,0.026461134,0.398196625,1.289676662,456.2851827,342.0697782
-19786,0.027458751,0.397601986,1.603819456,453.751996,342.0789852
-19785,0.028380901,0.397161048,1.920095193,453.9998392,342.0877994
-19784,0.029240193,0.396882953,2.234209287,457.0881584,342.0962755
-19783,0.030180576,0.396773143,2.546089031,462.7013006,342.105842
-19782,0.031053025,0.396830433,2.858161502,470.5595495,342.1149889
-19781,0.031911344,0.397053706,3.170967033,479.9935432,342.1242427
-19780,0.032771527,0.39743889,3.479707732,490.0174804,342.1337706
-19779,0.033594893,0.397975014,3.789971809,499.8273914,342.1431288
-19778,0.034463671,0.398655605,4.099064361,508.4137696,342.1532557
-19777,0.035215556,0.399468749,4.407000585,514.7636565,342.1622296
-19776,0.036028579,0.400402167,4.714285156,518.3426235,342.1721519
-19775,0.036857442,0.401443966,5.020983054,518.7035684,342.1825015
-19774,0.03755571,0.402579307,5.326167083,515.6630048,342.1914039
-19773,0.038361737,0.403791581,5.631581031,509.6958528,342.2018888
-19772,0.039057481,0.405063116,5.93365465,501.3786814,342.2111189
-19771,0.039794905,0.406374424,6.23804708,491.483729,342.2210839
-19770,0.040445491,0.407702469,0.255992715,481.2243332,342.230031
-19769,0.041087476,0.409023896,0.556001544,471.5978377,342.2390027
-19768,0.04175494,0.410314937,0.858194222,463.46912,342.248481
-19767,0.042312227,0.411544075,1.156448372,457.952601,342.2565124
-19766,0.042860725,0.412687444,1.455639011,455.4860361,342.2645216
-19765,0.043464628,0.413719057,1.753820816,456.4046856,342.2734599
-19764,0.043900692,0.414613246,2.051513034,460.9851102,342.2799922
-19763,0.044407004,0.415348614,2.348786481,468.7896493,342.2876591
-19762,0.044848047,0.415907699,2.644586366,479.3720549,342.2944097
-19761,0.045226063,0.416268873,2.941432346,491.9904846,342.3002491
-19760,0.045615526,0.416420535,3.237989527,505.5411937,342.3063169
-19759,0.045899515,0.416353947,3.532637915,518.7408929,342.3107744
-19758,0.046247664,0.416058207,3.829506083,530.5585772,342.3162769
-19757,0.046460989,0.415533324,4.125386359,539.5675266,342.3196692
-19756,0.046654346,0.414780097,4.420947574,544.8907426,342.3227576
-19755,0.046879125,0.413802027,4.717990797,545.9634795,342.3263641
-19754,0.046992215,0.412615899,5.013963304,542.4028647,342.3281851
-19753,0.047064632,0.411240623,5.311922767,534.4909683,342.3293536
-19752,0.047128865,0.409700661,5.608307415,522.9976904,342.3303915
-19751,0.047160063,0.408033269,5.907206248,508.7837799,342.3308961
-19750,0.04705713,0.40627779,6.206257244,493.1611433,342.3292324
-19749,0.047007732,0.404473506,0.221194765,477.5544062,342.3284354
-19748,0.046836021,0.402669918,0.522645263,463.0680758,342.3256711
-19747,0.046660863,0.400916014,0.823337319,450.9776624,342.3228619
-19746,0.04640126,0.399253702,1.12471507,442.1306112,342.3187178
-19745,0.046098039,0.397732714,1.427234932,437.0825474,342.3139069
-19744,0.045784576,0.396393123,1.730319567,436.0725593,342.3089669
-19743,0.045352397,0.395268618,2.033788355,439.1246897,342.3022116
-19742,0.044912269,0.394393694,2.337673183,445.7604671,342.2953983
-19741,0.044454096,0.393795303,2.640566834,455.2858071,342.2883767
-19740,0.043847356,0.393489056,2.946163427,466.964505,342.2791897
-19739,0.043272285,0.393491302,3.248520683,479.4194781,342.2705994
-19738,0.042626331,0.393801729,3.551718583,491.6735326,342.2610863
-19737,0.041912153,0.394410166,3.855502521,502.5621342,342.2507358
-19736,0.041157965,0.395304357,4.156635763,511.0410472,342.2399964
-19735,0.040329504,0.396453826,4.45716476,516.4761679,342.2284252
-19734,0.03957011,0.39782221,4.758131286,518.6683734,342.2180264
-19733,0.038586171,0.399372181,5.055031207,517.3951378,342.204848
-19732,0.037682305,0.401051115,5.351960967,513.3468388,342.1930358
-19731,0.036729957,0.402810378,5.646655531,507.1024423,342.1808943
-19730,0.035652171,0.40460229,5.939577874,499.4916393,342.1675298
-19729,0.034602472,0.406374728,6.230670932,491.5043192,342.1548977
-19728,0.033495476,0.408082628,0.2350065,484.0271585,342.1419864
-19727,0.032319112,0.409688243,0.523114847,477.6847082,342.1287277
-19726,0.031173973,0.411150844,0.807013547,473.1080887,342.1162775
-19725,0.029895631,0.412440203,1.087598545,470.6714961,342.1029112
-19724,0.028716365,0.413531795,1.36785557,470.2434728,342.0910783
-19723,0.027410556,0.41440228,1.644508378,471.9432943,342.0785325
-19722,0.026105962,0.41503853,1.915941517,475.3213318,342.0665827
-19721,0.02487933,0.415433516,2.187315388,479.9191988,342.0558794
-19720,0.023513136,0.415580687,2.451630152,485.3198086,342.0445657
-19719,0.022226796,0.415484925,2.714072199,490.8964888,342.0344982
-19718,0.020959506,0.415158217,2.968745524,496.104423,342.0251342
-19717,0.019691163,0.41461448,3.219426766,500.6135135,342.0163135
-19716,0.018443288,0.413879485,3.464093651,504.0924477,342.0081728
-19715,0.017297624,0.412983118,3.694674811,506.3109383,342.0011685
-19714,0.016184828,0.411955818,3.923719455,507.4492323,341.9947955
-19713,0.01518835,0.410835019,4.13657784,507.4816938,341.9894484
-19712,0.014296758,0.409656827,4.336888066,506.6700469,341.9849522
-19711,0.013554858,0.408454609,4.528691133,505.2929904,341.9814183
-19710,0.013043182,0.407263056,4.708254524,503.6193402,341.9790908
-19709,0.012644767,0.406108554,4.875656972,501.709622,341.9773405
-19708,0.012592911,0.405015095,5.042720123,499.875642,341.9771167
-19707,0.012720135,0.404003502,5.2084462,497.9814029,341.9776674
-19706,0.013037018,0.403088537,5.379788049,495.984917,341.9790633
-19705,0.013683549,0.402280798,5.560292822,493.8823717,341.9820178
-19704,0.014444003,0.401592681,5.754826359,491.3542277,341.985676
-19703,0.015311835,0.401028284,5.959278562,488.3576779,341.9900925
-19702,0.016454743,0.400592127,6.177991453,484.8057594,341.9963023
-19701,0.017546972,0.400284352,0.123852361,480.6929278,342.0026547
-19700,0.018809332,0.400101833,0.36404985,476.1332027,342.0105055
-19699,0.020093051,0.400038507,0.609986235,471.4594722,342.0190488
-19698,0.021436616,0.400085676,0.864901467,466.940628,342.028595
-19697,0.022791887,0.400230397,1.127483499,463.049498,342.038851
-19696,0.024170914,0.400458635,1.390445104,460.2860762,342.049933
-19695,0.025556628,0.400754773,1.661844881,459.0317061,342.0617256
-19694,0.026976062,0.401105464,1.935438603,459.645804,342.0744878
-19693,0.028323575,0.401498422,2.211292033,462.4275128,342.087243
-19692,0.02973182,0.401923022,2.490305098,467.339672,342.1012389
-19691,0.031119395,0.402372311,2.771085819,474.2929452,342.1156954
-19690,0.032426921,0.402841561,3.054017921,482.948732,342.129923
-19689,0.033767096,0.403326576,3.337910371,492.6791773,342.1451154
-19688,0.035115566,0.403827599,3.62244631,502.7660761,342.161025
-19687,0.036325267,0.404342872,3.91090483,512.3547548,342.1758293
-19686,0.037610576,0.404869606,4.196056335,520.4555746,342.1921105
-19685,0.038825033,0.405407049,4.485142451,526.2875152,342.2080166
-19684,0.040004742,0.405949735,4.774249112,529.0889937,342.2239537
-19683,0.041183072,0.406491772,5.062678871,528.4873618,342.2403508
-19682,0.042248555,0.407027443,5.351941927,524.2823596,342.2555893
-19681,0.043428624,0.407547421,5.642277138,516.8916748,342.2729235
-19680,0.044402708,0.408041355,5.931654836,506.7677978,342.2875937
-19679,0.045436693,0.408500665,6.221510298,494.9023795,342.3035242
-19678,0.046466079,0.408911874,0.228159778,482.3093092,342.3197504
-19677,0.047344336,0.409263535,0.518494965,470.146071,342.3338836
-19676,0.048294044,0.40954556,0.808570561,459.4665861,342.3494664
-19675,0.049163443,0.409747376,1.097420632,451.3106315,342.3640048
-19674,0.049982806,0.409858028,1.388758023,446.3417262,342.3779456
-19673,0.050794417,0.409872166,1.678127843,445.0941892,342.3919834
-19672,0.051523276,0.409779243,1.967666964,447.7999134,342.4047841
-19671,0.052282309,0.409575906,2.258781913,454.3156251,342.4183102
-19670,0.052934633,0.409262108,2.548446968,464.2640472,342.430094
-19669,0.053543246,0.408836484,2.839259512,476.9449381,342.4412211
-19668,0.054226524,0.408304968,3.130038992,491.3033049,342.4538662
-19667,0.054724647,0.407678036,3.421286986,506.160326,342.4631866
-19666,0.055278798,0.406965215,3.71278935,520.1454631,342.4736565
-19665,0.055779996,0.406186576,4.00454775,531.8794468,342.4832176
-19664,0.056225709,0.405364198,4.296850979,540.1316071,342.4917934
-19663,0.056673499,0.404519934,4.590635088,544.0153665,342.5004785
-19662,0.057017316,0.403682988,4.882450461,542.8908843,342.5071943
-19661,0.057438298,0.402880926,5.177364633,536.9015402,342.5154731
-19660,0.057717613,0.40214002,5.471531843,526.355649,342.521
-19659,0.058011748,0.401490529,5.7654508,512.3598564,342.5268493
-19658,0.058281337,0.400957909,6.06085338,496.0605323,342.5322369
-19657,0.058501617,0.400564474,0.072654489,479.008854,342.5366578
-19656,0.058646439,0.400332878,0.368244245,462.6674264,342.5395735
-19655,0.058831854,0.400276726,0.663273889,448.4335531,342.5433171
-19654,0.058935563,0.400406154,0.958734043,437.4571472,342.5454162
-19653,0.058977136,0.400725725,1.254569765,430.6265028,342.5462587
-19652,0.059024025,0.40123056,1.548933299,428.4425467,342.5472097
-19651,0.05903174,0.401909951,1.843864778,431.1058751,342.5473662
-19650,0.058953054,0.402746606,2.138771674,438.5261034,342.5457706
-19649,0.058886367,0.403712464,2.43172874,450.0525266,342.54442
-19648,0.058718247,0.404776848,2.725697082,465.0304143,342.5410219
-19647,0.058614301,0.405903465,3.018253917,482.1576585,342.5389259
-19646,0.058347004,0.407052352,3.310742469,500.1777648,342.5335531
-19645,0.058111151,0.408184848,3.601772233,517.4940015,342.5288329
-19644,0.05789688,0.409261009,3.8930667,532.7509079,342.5245614
-19643,0.05749141,0.410240493,4.183371201,544.3853952,342.516522
-19642,0.057204504,0.41109119,4.473016552,551.6419728,342.5108678
-19641,0.056785462,0.411780653,4.761583641,553.7118637,342.502661
-19640,0.056345029,0.412282379,5.05141572,550.5992356,342.4941009
-19639,0.055885552,0.412577894,5.339201574,542.7610502,342.4852423
-19638,0.055342104,0.412651533,5.627236867,530.9648865,342.4748594
-19637,0.05483192,0.412494391,5.916212415,516.4136407,342.4652051
-19636,0.054209072,0.412109214,6.203755689,500.5197691,342.4535412
-19635,0.053551271,0.411499983,0.209171914,484.5902763,342.4413687
-19634,0.052970533,0.410681911,0.497304147,469.9385624,342.4307468
-19633,0.052185024,0.409679367,0.78621091,457.7059316,342.4165654
-19632,0.051451814,0.40851804,1.075155695,448.6191509,342.4035209
-19631,0.050705257,0.407234393,1.363651557,443.2116043,342.3904301
-19630,0.04982685,0.405869574,1.654025991,441.7780741,342.3752742
-19629,0.048989612,0.404462043,1.943840397,444.0769239,342.361077
-19628,0.048032354,0.403059694,2.233110557,449.8331646,342.3451415
-19627,0.047132946,0.401710184,2.524811632,458.3578537,342.3304575
-19626,0.046103717,0.400452017,2.815486711,468.813631,342.3139968
-19625,0.045065376,0.399329433,3.10515891,480.1137945,342.2977609
-19624,0.044052042,0.398379462,3.397482992,491.3865919,342.2822748
-19623,0.04291065,0.397627671,3.686617536,501.3338179,342.2652558
-19622,0.041798562,0.397101856,3.977521574,509.3288897,342.2491058
-19621,0.040650918,0.396817323,4.265788887,514.5798215,342.2328863
-19620,0.039473036,0.396777528,4.554122199,516.8323331,342.2167114
-19619,0.038242051,0.396987187,4.841576745,516.0400214,342.2003177
-19618,0.037047296,0.39743657,5.125349809,512.6285506,342.1849054
-19617,0.035797816,0.398108065,5.409015086,507.0370302,342.1693125
-19616,0.034555429,0.398983788,5.690484402,500.0595282,342.1543404
-19615,0.033267952,0.400034222,5.966894365,492.5355344,342.1393849
-19614,0.032040101,0.401222148,6.242788213,485.1065009,342.1256527
-19613,0.030777258,0.40251553,0.231206424,478.5066624,342.1120694
-19612,0.029491957,0.403871291,0.497995457,473.2524099,342.0988069
-19611,0.028264725,0.405244862,0.761846648,469.5647207,342.0866729
-19610,0.027083793,0.406600305,1.020694617,467.6161401,342.0754846
-19609,0.025812517,0.407899378,1.275159323,467.4870676,342.0639752
-19608,0.024740146,0.409105746,1.522930032,468.7733993,342.0546976
-19607,0.023628926,0.410197336,1.766902233,471.4345793,342.0454998
-19606,0.022601991,0.411149745,2.004389153,475.0489339,342.0373761
-19605,0.021698479,0.411948896,2.234953829,479.252939,342.0305276
-19604,0.020854748,0.412589177,2.458486593,483.7934987,342.0243848
-19603,0.020158795,0.413064961,2.680423235,488.4437867,342.0195015
-19602,0.019575846,0.413376414,2.890912085,492.857984,342.0155388
-19601,0.019133957,0.413530659,3.100563304,497.0735998,342.0126126
-19600,0.018904912,0.413529255,3.307811161,500.9725038,342.0111221
-19599,0.018739755,0.413382098,3.510772702,504.4399344,342.0100586
-19598,0.018823159,0.413100841,3.715017289,507.5769718,342.0105945
-19597,0.019083553,0.412693584,3.924075593,510.3663122,342.012283
-19596,0.019394794,0.412174848,4.131972909,512.5458017,342.0143318
-19595,0.0199677,0.411559317,4.349048857,514.2904809,342.0181897
-19594,0.020628479,0.410861772,4.568603374,515.235714,342.0227789
-19593,0.021378774,0.410099587,4.796794133,515.2287757,342.0281713
-19592,0.022257564,0.409289107,5.029906088,514.1093101,342.0347324
-19591,0.023236704,0.408444897,5.267382907,511.7065949,342.0423544
