dist,lon,lat,depth_m
5.18324584,-41.52314925,24.40248666,-4485
5.200184551,-41.50646829,24.39954296,-4460
5.217123263,-41.48978732,24.39659926,-4491
5.234061975,-41.47310636,24.39365556,-4587
5.251000687,-41.45642539,24.39071186,-4682
5.267939399,-41.43974443,24.38776816,-4641
5.284878111,-41.42306346,24.38482446,-4584
5.301816823,-41.4063825,24.38188076,-4676
5.318755535,-41.38970153,24.37893706,-4814
5.335694247,-41.37302057,24.37599336,-4966
5.352632959,-41.3563396,24.37304966,-4858
5.36957167,-41.33965864,24.37010596,-4736
5.386510382,-41.32297767,24.36716226,-4681
5.403449094,-41.30629671,24.36421856,-4817
5.420387806,-41.28961574,24.36127486,-4972
5.437326518,-41.27293478,24.35833116,-5068
5.45426523,-41.25625381,24.35538746,-4878
5.471203942,-41.23957285,24.35244376,-4706
5.488142654,-41.22289188,24.34950006,-4551
5.505081366,-41.20621092,24.34655636,-4443
5.522020077,-41.18952995,24.34361266,-4340
5.538958789,-41.17284899,24.34066897,-4175
5.555897501,-41.15616802,24.33772527,-4055
5.572836213,-41.13948706,24.33478157,-3989
5.589774925,-41.12280609,24.33183787,-4018
5.606713637,-41.10612513,24.32889417,-4144
5.623652349,-41.08944416,24.32595047,-4293
5.640591061,-41.0727632,24.32300677,-4301
5.657529773,-41.05608223,24.32006307,-4346
5.674468485,-41.03940127,24.31711937,-4430
5.691407196,-41.02272031,24.31417567,-4487
5.708345908,-41.00603934,24.31123197,-4534
5.72528462,-40.98935838,24.30828827,-4489
5.742223332,-40.97267741,24.30534457,-4503
5.759162044,-40.95599645,24.30240087,-4509
5.776100756,-40.93931548,24.29945717,-4504
5.793039468,-40.92263452,24.29651347,-4497
5.80997818,-40.90595355,24.29356977,-4504
5.826916892,-40.88927259,24.29062607,-4510
5.843855603,-40.87259162,24.28768237,-4561
5.860794315,-40.85591066,24.28473867,-4628
5.877733027,-40.83922969,24.28179497,-4708
5.894671739,-40.82254873,24.27885127,-4798
5.911610451,-40.80586776,24.27590757,-4907
5.928549163,-40.7891868,24.27296387,-5073
5.945487875,-40.77250583,24.27002017,-5159
5.962426587,-40.75582487,24.26707647,-5205
5.979365299,-40.7391439,24.26413277,-5204
5.99630401,-40.72246294,24.26118907,-5168
6.013242722,-40.70578197,24.25824537,-5071
6.030181434,-40.68910101,24.25530167,-4991
6.047120146,-40.67242004,24.25235797,-4890
6.064058858,-40.65573908,24.24941427,-4789
6.08099757,-40.63905811,24.24647057,-4784
6.097936282,-40.62237715,24.24352688,-4756
6.114874994,-40.60569618,24.24058318,-4607
6.131813706,-40.58901522,24.23763948,-4472
6.148752418,-40.57233425,24.23469578,-4414
6.165691129,-40.55565329,24.23175208,-4411
6.182629841,-40.53897232,24.22880838,-4426
6.199568553,-40.52229136,24.22586468,-4451
6.216507265,-40.50561039,24.22292098,-4487
6.233445977,-40.48892943,24.21997728,-4565
6.250384689,-40.47224846,24.21703358,-4643
6.267323401,-40.4555675,24.21408988,-4701
6.284262113,-40.43888653,24.21114618,-4729
6.301200825,-40.42220557,24.20820248,-4839
6.318139536,-40.4055246,24.20525878,-4853
6.335078248,-40.38884364,24.20231508,-4859
6.35201696,-40.37216267,24.19937138,-4859
6.368955672,-40.35548171,24.19642768,-4858
6.385894384,-40.33880074,24.19348398,-4848
